"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
26.5,0,29,6.09969701804525
26.5,0,30,6.09366766011005
26.5,0,31,6.08139143769209
26.5,0,32,6.06281798116805
26.5,0,33,6.03789546343789
26.5,0,34,6.00657039271779
26.5,0,35,5.96878743347367
26.5,0,36,5.92448925280573
26.5,0,37,5.87361638983725
26.5,0,38,5.8161071459679
26.5,0,39,5.7518974942278
26.5,0,40,5.68092100642065
26.5,0,41,5.60310879728079
26.5,0,42,5.51838948550034
26.5,0,43,5.42668917222447
26.5,0,44,5.32793143848214
26.5,0,45,5.22203736404067
26.5,0,46,5.10892557137529
26.5,0,47,4.98851229986542
26.5,0,48,4.86071151701687
26.5,0,49,4.72543507551947
26.5,0,50,4.58259292735688
26.5,0,51,4.43209340907813
26.5,0,52,4.27384361582756
26.5,0,53,4.10774988594684
26.5,0,54,3.93371842307129
26.5,0,55,3.75165608884087
26.5,0,56,3.56147140687069
26.5,0,57,3.36307582775861
26.5,0,58,3.15638531597961
26.5,0,59,2.94132233291047
26.5,0,60,2.71781830637398
26.5,0,61,2.48581669645747
26.5,0,62,2.2452767904218
26.5,0,63,1.9961783867129
26.5,0,64,1.73852755972419
26.5,0,65,1.47236373306684
26.5,0,66,1.19776832919589
26.5,0,67,0.914875305940671
26.5,0,68,0.62388393296883
26.5,0,69,0.325074198375635
26.5,0,70,0.0188252588907534
26.5,0,71,-0.294362656926564
26.5,0,72,-0.613842535264178
26.5,0,73,-0.938790826227956
26.5,0,74,-1.2681736778526
26.5,0,75,-1.60070959997381
26.5,0,76,-1.9348296636592
26.5,0,77,-2.26863730725987
26.5,0,78,-2.59987113980814
26.5,0,79,-2.92587580266033
26.5,0,80,-3.24358785667059
26.5,0,81,-3.5495455053072
26.5,0,82,-3.83993218763494
26.5,0,83,-4.1106638458459
26.5,0,84,-4.35752699124619
26.5,0,85,-4.57636872174944
26.5,0,86,-4.76333046041028
26.5,0,87,-4.91510560689638
26.5,0,88,-5.02919038325701
26.5,0,89,-5.10409090399772
26.5,0,90,-5.13945151274035
26.5,0,91,-5.13608092317986
26.5,0,92,-5.09587124908726
26.5,0,93,-5.02162509303127
26.5,0,94,-4.91682126831534
26.5,0,95,-4.78535634451381
26.5,0,96,-4.6312965662937
26.5,0,97,-4.45866549658295
26.5,0,98,-4.27128102619418
26.5,0,99,-4.07264470383556
26.5,0,100,-3.86587868050276
26.5,0,101,-3.65370138073392
26.5,0,102,-3.43843173449017
26.5,0,103,-3.22201244953388
26.5,0,104,-3.0060444371926
26.5,0,105,-2.79182643192366
26.5,0,106,-2.5803956518908
26.5,0,107,-2.37256684071927
26.5,0,108,-2.1689681614154
26.5,0,109,-1.97007321191234
26.5,0,110,-1.77622895972696
26.5,0,111,-1.58767971800229
26.5,0,112,-1.40458746636787
26.5,0,113,-1.22704890502718
26.5,0,114,-1.05510965448373
26.5,0,115,-0.888776001113219
26.5,0,116,-0.728024557034266
26.5,0,117,-0.572810162146934
26.5,0,118,-0.423072313376199
26.5,0,119,-0.278740364867856
26.5,0,120,-0.139737705118455
26.5,0,121,-0.00598508362957359
26.5,0,122,0.122596769167255
26.5,0,123,0.246085109472213
26.5,0,124,0.364553636484608
26.5,0,125,0.4780713559933
26.5,0,126,0.586701783728288
26.5,0,127,0.690502432616731
26.5,0,128,0.789524537591674
26.5,0,129,0.883812979371757
26.5,0,130,0.973406374977119
26.5,0,131,1.05833730793536
26.5,0,132,1.13863267538055
26.5,0,133,1.21431413273963
26.5,0,134,1.28539861958131
26.5,0,135,1.35189895259161
26.5,0,136,1.41382447363283
26.5,0,137,1.4711817425133
26.5,0,138,1.52397526550203
26.5,0,139,1.57220825180989
26.5,0,140,1.61588339125931
26.5,0,141,1.65500364720341
26.5,0,142,1.68957305944722
26.5,0,143,1.7195975524822
26.5,0,144,1.74508574477425
26.5,0,145,1.76604975515138
26.5,0,146,1.78250600251917
26.5,0,147,1.79447599519175
26.5,0,148,1.80198710606291
26.5,0,149,1.80507332965567
26.5,0,150,1.80377601678141
26.5,0,151,1.79814458211458
26.5,0,152,1.78823717945244
26.5,0,153,1.77412133879057
26.5,0,154,1.75587455861967
26.5,0,155,1.73358484605601
26.5,0,156,1.70735119658345
26.5,0,157,1.67728400434366
26.5,0,158,1.64350539310173
26.5,0,159,1.60614945728932
26.5,0,160,1.56536240194133
26.5,0,161,1.52130256996274
26.5,0,162,1.47414034506024
26.5,0,163,1.42405791892486
26.5,0,164,1.37124891193637
26.5,0,165,1.31591783785014
26.5,0,166,1.25827940469238
26.5,0,167,1.19855764647896
26.5,0,168,1.13698488341944
26.5,0,169,1.07380051196983
26.5,0,170,1.00924963041867
26.5,0,171,0.943581510549265
26.5,0,172,0.877047931186188
26.5,0,173,0.809901394923674
26.5,0,174,0.742393254816295
26.5,0,175,0.674771783013849
26.5,0,176,0.607280217937477
26.5,0,177,0.54015483030358
26.5,0,178,0.473623050794951
26.5,0,179,0.407901703176795
26.5,0,180,0.343195385939456
